date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:04:44	1473/1473	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202024%2003:04:44%20GMT	https://sadbuggie.vip/robots.txt		(from )
08:04:44	21280/21280	---MCZ	200	added ('OK')	text/html	etag:W/%224a51011749f499e87e6694e3e4870970%22	https://sadbuggie.vip/	C:/My%20Web%20Sites/solana/sadbuggie.vip/index.html	(from )
08:04:45	11890/11890	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2031%20Mar%202024%2003:04:45%20GMT	https://kit.fontawesome.com/22f7957471.js	C:/My%20Web%20Sites/solana/kit.fontawesome.com/22f7957471.js	(from https://sadbuggie.vip/)
08:04:45	181789/181789	---MCZ	200	added ('OK')	text/css	etag:W/%22354b4666a70e2b0eec542f2db454d258%22	https://sadbuggie.vip/style.css	C:/My%20Web%20Sites/solana/sadbuggie.vip/style.css	(from https://sadbuggie.vip/)
08:04:45	79380/79380	---M--	200	added ('OK')	image/png	etag:%22fae7dfd0f3033d2173e7fd76953b0cd3%22	https://sadbuggie.vip/logo.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/logo.png	(from https://sadbuggie.vip/)
08:04:46	6112/6112	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2031%20Mar%202024%2003:04:46%20GMT	http://script.crazyegg.com/pages/scripts/0119/9811.js	C:/My%20Web%20Sites/solana/script.crazyegg.com/pages/scripts/0119/9811.js	(from https://sadbuggie.vip/)
08:04:47	25243/25243	---M--	200	added ('OK')	image/jpeg	etag:%22c2db75b771abc9ee834972d3790fccb2%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f98bdf1508b5c419f685c13_KB_Wb_WaveCycle_MasterComp_1920x1356_Uncroppedw-BG-poster-00001.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f98bdf1508b5c419f685c13_KB_Wb_WaveCycle_MasterComp_1920x1356_Uncroppedw-BG-poster-00001.jpg	(from https://sadbuggie.vip/)
08:04:48	453249/453249	---M--	200	added ('OK')	image/png	etag:%224207ea772c47bd1c09f5492aa9c4b65f%22	https://sadbuggie.vip/Og-nug-profiilikuva_ce6b7ac510.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/Og-nug-profiilikuva_ce6b7ac510.png	(from https://sadbuggie.vip/)
08:04:48	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202024%2003:04:48%20GMT	https://sadbuggie.vip/ttlink	C:/My%20Web%20Sites/solana/sadbuggie.vip/ttlink	(from https://sadbuggie.vip/)
08:04:48	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202024%2003:04:48%20GMT	https://sadbuggie.vip/chartlink	C:/My%20Web%20Sites/solana/sadbuggie.vip/chartlink	(from https://sadbuggie.vip/)
08:04:48	3670/3670	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Mar%202024%2003:04:48%20GMT	https://sadbuggie.vip/buylink	C:/My%20Web%20Sites/solana/sadbuggie.vip/buylink	(from https://sadbuggie.vip/)
08:04:49	55467/55467	---M--	200	added ('OK')	image/png	etag:%22ea0985c975be584c578592033a793cfe%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f868aae9aa4fca4da54dfa4_KB_Wb_WaterSection_Pale_v02.png	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f868aae9aa4fca4da54dfa4_KB_Wb_WaterSection_Pale_v02.png	(from https://sadbuggie.vip/)
08:04:49	201381/201381	---M--	200	added ('OK')	image/png	etag:%22e10443de21fc0d3e1f7ab79ad7e80a64%22	https://sadbuggie.vip/img.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/img.png	(from https://sadbuggie.vip/)
08:04:49	207576/207576	---M--	200	added ('OK')	image/png	etag:%22cdd594f10e5967e30cb4d3e38eb48fa8%22	https://sadbuggie.vip/img2.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/img2.png	(from https://sadbuggie.vip/)
08:04:50	19178/19178	---M--	200	added ('OK')	image/png	etag:%22c4d09cdc37f386607d8cbb5db26346c5%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e5b6900801a087f2f6f7_KB_Wb_Icons_watch.png	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e5b6900801a087f2f6f7_KB_Wb_Icons_watch.png	(from https://sadbuggie.vip/)
08:04:50	211679/211679	---M--	200	added ('OK')	image/png	etag:%227680fee76e5e271f904275d6e29bb7d5%22	https://sadbuggie.vip/img3.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/img3.png	(from https://sadbuggie.vip/)
08:04:51	200357/200357	---M--	200	added ('OK')	image/png	etag:%222815cca85b7c0e33d332c5dc22561d96%22	https://sadbuggie.vip/img4.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/img4.png	(from https://sadbuggie.vip/)
08:04:51	17686/17686	---M--	200	added ('OK')	image/png	etag:%22820218f33b4d4dcf92036ed0fa8ed5ae%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e5b6f5fd372fc6b443d9_KB_Wb_Icons_Games.png	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e5b6f5fd372fc6b443d9_KB_Wb_Icons_Games.png	(from https://sadbuggie.vip/)
08:04:51	194349/194349	---M--	200	added ('OK')	image/png	etag:%2205ed260423b7c64de8e96f0066f3ec25%22	https://sadbuggie.vip/img6.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/img6.png	(from https://sadbuggie.vip/)
08:04:52	168314/168314	---M--	200	added ('OK')	image/png	etag:%22ba8564ee99b0f7b90804afc36a4dc74b%22	https://sadbuggie.vip/img5.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/img5.png	(from https://sadbuggie.vip/)
08:04:52	16096/16096	---M--	200	added ('OK')	image/png	etag:%22ae0dc93df980a215d3d065301c27e75b%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e5b6fa21cb48f15cbb89_KB_Wb_Icons_Characters.png	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e5b6fa21cb48f15cbb89_KB_Wb_Icons_Characters.png	(from https://sadbuggie.vip/)
08:04:52	182223/182223	---M--	200	added ('OK')	image/png	etag:%22077cddd825879091d4967a2e3c60806b%22	https://sadbuggie.vip/img7.png	C:/My%20Web%20Sites/solana/sadbuggie.vip/img7.png	(from https://sadbuggie.vip/)
08:04:53	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5f14f26dfc99528450bac111	C:/My%20Web%20Sites/solana/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c811a0.js	(from https://sadbuggie.vip/)
08:04:54	1297475/1297475	---M-Z	200	added ('OK')	text/javascript	etag:%227db6dd4c8d4bba7d47ff7746875e01c6%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/js/webflow.a1f9f9cfb.js	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/js/webflow.a1f9f9cfb.js	(from https://sadbuggie.vip/)
08:04:55	1731/1731	---M-Z	200	added ('OK')	application/javascript	etag:W/%226c3-1s0eec7oePdhcVrYEdKeoGY3QW4%22	https://cdn.jsdelivr.net/npm/js-cookie@3.0.5/dist/js.cookie.min.js	C:/My%20Web%20Sites/solana/cdn.jsdelivr.net/npm/js-cookie@3.0.5/dist/js.cookie.min.js	(from https://sadbuggie.vip/)
08:04:56	24269/24269	---M--	200	added ('OK')	image/jpeg	etag:%221965746011333188bd3126760edb56b9%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87aa1cbc0d53a5a645d35d_KB_Wb_ColourCardYellow.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87aa1cbc0d53a5a645d35d_KB_Wb_ColourCardYellow.jpg	(from https://sadbuggie.vip/style.css)
08:04:56	27824/27824	---M--	200	added ('OK')	image/jpeg	etag:%224f21a0245521b399e23d169065cf5402%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87aa1d9008015e19f27ad6_KB_Wb_ColourCardPink.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87aa1d9008015e19f27ad6_KB_Wb_ColourCardPink.jpg	(from https://sadbuggie.vip/style.css)
08:04:57	26293/26293	---M--	200	added ('OK')	image/jpeg	etag:%22202043608eaa5faa8f7eb3c0c45f209f%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87aa1c7c0dc053500bc57a_KB_Wb_ColourCardGreen.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87aa1c7c0dc053500bc57a_KB_Wb_ColourCardGreen.jpg	(from https://sadbuggie.vip/style.css)
08:04:57	19425/19425	---M--	200	added ('OK')	image/jpeg	etag:%229d0f1df57ff9cec542161f378e066387%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e87794d7027284c0e679_KB_mat_ColourCardOrange.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e87794d7027284c0e679_KB_mat_ColourCardOrange.jpg	(from https://sadbuggie.vip/style.css)
08:04:58	24294/24294	---M--	200	added ('OK')	image/jpeg	etag:%2269b40fa90939f878f72849deb7a14cd3%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e87716cb645fdcbafc60_KB_mat_ColourCardLEafGreen.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e87716cb645fdcbafc60_KB_mat_ColourCardLEafGreen.jpg	(from https://sadbuggie.vip/style.css)
08:04:58	16553/16553	---M--	200	added ('OK')	image/jpeg	etag:%2217fc22ed2b3fa22cc4178ba28e99ddc2%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e877abf1e0227b33811d_KB_mat_ColourCardBlue.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87e877abf1e0227b33811d_KB_mat_ColourCardBlue.jpg	(from https://sadbuggie.vip/style.css)
08:04:59	37498/37498	---M--	200	added ('OK')	image/jpeg	etag:%22fc1f123ea00beb9fa8f58c7f225e81fe%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f87aa1d9fc4a6850234a287_KB_Wb_ColourCardBlue.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f87aa1d9fc4a6850234a287_KB_Wb_ColourCardBlue.jpg	(from https://sadbuggie.vip/style.css)
08:05:00	153264/153264	---M--	200	added ('OK')	image/png	etag:%22fbe76077fc01848bedc4012b473d5f7b%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f8688c4519d0ff15a61af23_KB_Wb_WaterSection_Cyan_v01.png	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f8688c4519d0ff15a61af23_KB_Wb_WaterSection_Cyan_v01.png	(from https://sadbuggie.vip/style.css)
08:05:02	1759766/1759766	---M--	200	added ('OK')	image/png	etag:%220fc218d52defd979d4753e76b961a58e%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f893fbfb33e77e503b84de8_Make%20BG.png	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f893fbfb33e77e503b84de8_Make%20BG.png	(from https://sadbuggie.vip/style.css)
08:05:02	444633/444633	---M--	200	added ('OK')	image/jpeg	etag:%22f932b536c1b78b216d478abd34308612%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f8cca284e5fce49ecb61f24_KB_Pb_Text_SandExtended_V01.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f8cca284e5fce49ecb61f24_KB_Pb_Text_SandExtended_V01.jpg	(from https://sadbuggie.vip/style.css)
08:05:03	292638/292638	---M--	200	added ('OK')	image/jpeg	etag:%221d29b0c3e51f19724d064ad06c57e6aa%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5fdaf65f020c202be1fcf8e3_KB_Env_SnackShack.jpg	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5fdaf65f020c202be1fcf8e3_KB_Env_SnackShack.jpg	(from https://sadbuggie.vip/style.css)
08:05:03	24697/24697	---M--	200	added ('OK')	image/png	etag:%220649ed6fa537ad9c2e9193c983b57d14%22	https://assets-global.website-files.com/5f14f26dfc99528450bac111/5f90d867daa94f56c280688a_KB_DE_TitleLockupRescueTube_Web.png	C:/My%20Web%20Sites/solana/assets-global.website-files.com/5f14f26dfc99528450bac111/5f90d867daa94f56c280688a_KB_DE_TitleLockupRescueTube_Web.png	(from https://sadbuggie.vip/style.css)
